Date,Price,Open,High,Low,Vol.,Change %
28-Jul-20,43.22,43.55,43.84,43,107.34K,-0.44%
27-Jul-20,43.41,43.35,43.77,42.39,174.75K,0.16%
24-Jul-20,43.34,43.27,43.9,42.79,191.05K,0.07%
23-Jul-20,43.31,44.1,44.77,43.13,262.24K,-2.21%
22-Jul-20,44.29,44.03,44.4,43.62,202.16K,-0.07%
21-Jul-20,44.32,43.17,44.89,43.16,229.78K,2.40%
20-Jul-20,43.28,43.08,43.45,42.36,179.43K,0.32%
17-Jul-20,43.14,43.4,43.45,42.64,162.40K,-0.53%
16-Jul-20,43.37,43.71,43.8,43.14,172.16K,-0.96%
15-Jul-20,43.79,43.07,43.85,42.7,232.18K,2.07%
14-Jul-20,42.9,42.24,43.22,41.8,221.12K,0.42%
13-Jul-20,42.72,43.12,43.34,42.14,200.31K,-1.20%
10-Jul-20,43.24,42.36,43.42,41.32,214.05K,2.10%
9-Jul-20,42.35,43.3,43.5,41.94,237.75K,-2.17%
8-Jul-20,43.29,42.81,43.47,42.75,185.14K,0.49%
7-Jul-20,43.08,43.13,43.45,42.46,183.23K,-0.05%
6-Jul-20,43.1,42.79,43.71,42.74,185.02K,0.70%
3-Jul-20,42.8,42.76,42.99,42.32,96.78K,-0.79%
2-Jul-20,43.14,41.84,43.23,41.73,196.69K,2.64%
1-Jul-20,42.03,41.58,42.62,41.03,252.52K,2.14%
30-Jun-20,41.15,41.33,41.62,40.9,12.60K,-1.34%
29-Jun-20,41.71,40.56,41.95,40.04,86.78K,1.68%
26-Jun-20,41.02,41.44,41.81,40.29,120.32K,-0.07%
25-Jun-20,41.05,40.35,41.64,39.47,166.05K,1.84%
24-Jun-20,40.31,42.45,42.89,39.63,195.72K,-5.44%
23-Jun-20,42.63,43.21,43.93,42.21,183.03K,-1.04%
22-Jun-20,43.08,41.74,43.18,41.58,187.65K,2.11%
19-Jun-20,42.19,41.72,42.92,41.03,217.49K,1.64%
18-Jun-20,41.51,40.43,41.64,40.06,175.79K,1.97%
17-Jun-20,40.71,40.61,41.46,40.03,175.24K,-0.61%
16-Jun-20,40.96,39.94,41.65,38.95,248.58K,3.12%
15-Jun-20,39.72,38.8,39.9,37.24,215.42K,2.56%
12-Jun-20,38.73,37.88,39.45,37.01,237.89K,0.47%
11-Jun-20,38.55,40.95,41.01,37.82,290.17K,-7.62%
10-Jun-20,41.73,40.72,41.99,40.14,234.19K,1.34%
9-Jun-20,41.18,41.1,41.45,39.85,222.36K,0.93%
8-Jun-20,40.8,42.4,43.41,40.68,227.88K,-3.55%
5-Jun-20,42.3,39.84,42.48,39.72,250.31K,5.78%
4-Jun-20,39.99,39.6,40.1,39.04,172.61K,0.50%
3-Jun-20,39.79,39.75,40.53,38.76,239.43K,0.56%
2-Jun-20,39.57,38.34,39.75,38.26,205.22K,3.26%
1-Jun-20,38.32,37.56,38.68,37.18,212.78K,8.46%
29-May-20,35.33,35.15,35.37,34.06,14.71K,0.11%
28-May-20,35.29,33.92,35.95,33.62,70.99K,1.58%
27-May-20,34.74,35.93,36.16,33.98,112.25K,-3.95%
26-May-20,36.17,35.66,36.68,35.26,129.98K,1.80%
25-May-20,35.53,34.98,35.97,34.46,28.96K,1.14%
22-May-20,35.13,36.18,36.23,33.54,174.59K,-2.58%
21-May-20,36.06,35.82,36.98,35.75,178.55K,0.87%
20-May-20,35.75,34.45,36.46,34.38,191.27K,3.17%
19-May-20,34.65,35.66,35.76,34.2,188.93K,-0.46%
18-May-20,34.81,32.78,35.72,32.69,232.25K,7.11%
15-May-20,32.5,31.52,32.91,30.94,211.28K,4.40%
14-May-20,31.13,29.52,31.55,28.88,222.21K,6.65%
13-May-20,29.19,29.35,30.55,28.86,221.11K,-2.64%
12-May-20,29.98,30.07,30.7,29.35,202.47K,1.18%
11-May-20,29.63,30.7,31.47,29.35,242.21K,-4.33%
8-May-20,30.97,29.6,31.14,29.43,147.30K,5.13%
7-May-20,29.46,29.64,31.84,29.08,259.89K,-0.87%
6-May-20,29.72,32.27,32.27,28.66,268.46K,-4.04%
5-May-20,30.97,28.1,32.06,27.77,267.14K,13.86%
4-May-20,27.2,26.1,28.08,25.5,215.73K,2.87%
1-May-20,26.44,26.95,27.88,25.76,216.98K,4.63%
30-Apr-20,25.27,22.87,25.76,22.87,9.69K,12.11%
29-Apr-20,22.54,20.66,23.88,20.53,86.55K,10.17%
28-Apr-20,20.46,19.9,21.29,18.73,123.22K,2.35%
27-Apr-20,19.99,21.55,21.91,19.11,162.39K,-6.76%
24-Apr-20,21.44,21.93,22.7,20.5,187.00K,0.52%
23-Apr-20,21.33,20.89,23.22,20.07,256.30K,4.71%
22-Apr-20,20.37,20.23,22.45,15.98,344.76K,5.38%
21-Apr-20,19.33,26.33,26.5,17.51,637.21K,-24.40%
20-Apr-20,25.57,28.05,28.25,25.37,361.83K,-8.94%
17-Apr-20,28.08,28.66,28.93,27.58,286.17K,0.93%
16-Apr-20,27.82,28.05,29,27.2,272.98K,0.47%
15-Apr-20,27.69,30.26,30.33,27.16,284.34K,-6.45%
14-Apr-20,29.6,32.25,32.32,29.38,297.55K,-6.74%
13-Apr-20,31.74,33.99,33.99,30.63,223.29K,0.83%
9-Apr-20,31.48,33.82,36.4,31.18,493.00K,-4.14%
8-Apr-20,32.84,32.63,33.87,31.54,320.61K,3.04%
7-Apr-20,31.87,33.66,34.18,31.74,303.42K,-3.57%
6-Apr-20,33.05,31.76,34.24,30.03,296.07K,-3.11%
3-Apr-20,34.11,29.89,35,28.25,541.28K,13.93%
2-Apr-20,29.94,25.61,36.29,25.45,612.27K,21.02%
1-Apr-20,24.74,25.99,26.28,24.52,347.29K,8.80%
31-Mar-20,22.74,23,23.87,22.59,14.77K,-0.09%
30-Mar-20,22.76,23.85,24.44,21.65,62.08K,-8.70%
27-Mar-20,24.93,26.68,27,24.13,112.74K,-5.35%
26-Mar-20,26.34,27.35,27.75,26.03,139.18K,-3.83%
25-Mar-20,27.39,27.8,28.29,25.68,154.94K,0.88%
24-Mar-20,27.15,27.72,28.65,26.69,198.91K,0.44%
23-Mar-20,27.03,26.75,27.54,24.68,257.59K,0.19%
20-Mar-20,26.98,28.1,30.94,26.81,313.84K,-5.23%
19-Mar-20,28.47,27.19,29.42,24.96,335.72K,14.43%
18-Mar-20,24.88,28.4,29.21,24.52,348.40K,-13.40%
17-Mar-20,28.73,30.14,31.25,28.5,270.24K,-4.39%
16-Mar-20,30.05,35.82,35.84,29.45,330.12K,-11.23%
13-Mar-20,33.85,32.85,36.15,32.5,360.63K,1.90%
12-Mar-20,33.22,35.99,36.46,32.5,472.74K,-7.18%
11-Mar-20,35.79,37.27,39.7,35.35,471.77K,-3.84%
10-Mar-20,37.22,35.84,38.22,35,551.29K,8.32%
9-Mar-20,34.36,38.28,38.34,31.02,779.72K,-24.10%
6-Mar-20,45.27,50.25,50.45,45.18,636.39K,-9.44%
5-Mar-20,49.99,51.66,52.04,49.7,361.04K,-2.23%
4-Mar-20,51.13,52.11,53.03,51.04,363.50K,-1.41%
3-Mar-20,51.86,53.47,53.9,51.22,407.55K,-0.08%
2-Mar-20,51.9,48.95,53.2,48.4,417.56K,2.73%
28-Feb-20,50.52,51.42,51.52,50.05,20.36K,-3.18%
27-Feb-20,52.18,53.18,53.25,50.97,112.16K,-2.34%
26-Feb-20,53.43,55.13,55.45,53.03,171.50K,-2.77%
25-Feb-20,54.95,56.46,56.98,54.62,210.28K,-2.40%
24-Feb-20,56.3,57.85,57.86,55.13,236.33K,-3.76%
21-Feb-20,58.5,59,59.25,57.73,236.49K,-1.37%
20-Feb-20,59.31,59.31,60,58.9,268.65K,0.32%
19-Feb-20,59.12,57.6,59.4,57.51,262.15K,2.37%
18-Feb-20,57.75,57.35,57.83,56.3,249.20K,0.14%
17-Feb-20,57.67,57.29,57.7,56.83,115.34K,0.61%
14-Feb-20,57.32,56.41,57.53,56.15,258.14K,1.74%
13-Feb-20,56.34,55.75,56.83,54.96,325.51K,0.99%
12-Feb-20,55.79,54.41,56.36,54.39,305.45K,3.30%
11-Feb-20,54.01,53.62,54.69,53.6,272.81K,1.39%
10-Feb-20,53.27,54.2,54.71,53.11,280.18K,-2.20%
7-Feb-20,54.47,55.14,55.4,54.21,270.80K,-0.84%
6-Feb-20,54.93,55.56,56.58,54.25,379.87K,-0.63%
5-Feb-20,55.28,54.05,56.46,54.05,412.27K,2.45%
4-Feb-20,53.96,54.33,55.65,53.69,409.86K,-0.90%
3-Feb-20,54.45,56.16,56.77,54.08,477.22K,-6.38%
31-Jan-20,58.16,59.3,59.45,57.94,19.60K,-0.22%
30-Jan-20,58.29,59.6,59.65,57.71,104.27K,-2.54%
29-Jan-20,59.81,59.86,60.62,59.26,142.68K,0.50%
28-Jan-20,59.51,59.03,60.12,58.5,248.95K,0.32%
27-Jan-20,59.32,60.23,60.49,58.5,259.77K,-2.26%
24-Jan-20,60.69,62.01,62.46,60.25,257.95K,-2.18%
23-Jan-20,62.04,62.68,62.69,61.25,361.91K,-1.85%
22-Jan-20,63.21,64.57,64.58,62.62,273.30K,-2.14%
21-Jan-20,64.59,65.26,65.35,64.06,248.56K,-0.94%
20-Jan-20,65.2,65.98,66,64.92,154.79K,0.54%
17-Jan-20,64.85,64.69,65.6,64.48,238.64K,0.36%
16-Jan-20,64.62,64.26,64.97,63.9,220.17K,0.97%
15-Jan-20,64,64.44,64.6,63.55,229.53K,-0.76%
14-Jan-20,64.49,64.29,65.05,63.92,270.50K,0.45%
13-Jan-20,64.2,65.13,65.27,63.92,262.47K,-1.20%
10-Jan-20,64.98,65.29,65.66,64.86,272.17K,-0.60%
9-Jan-20,65.37,66,66.1,64.56,364.45K,-0.11%
8-Jan-20,65.44,71.22,71.75,64.94,560.89K,-4.15%
7-Jan-20,68.27,68.63,68.75,67.65,284.92K,-0.93%
6-Jan-20,68.91,69.35,70.74,68.21,341.14K,0.45%
3-Jan-20,68.6,66.28,69.5,66.22,479.70K,3.55%
2-Jan-20,66.25,66.41,66.58,65.72,205.69K,0.38%
31-Dec-19,66,66.65,66.93,65.63,171.01K,-3.57%
30-Dec-19,68.44,68.2,68.99,68.16,29.42K,0.41%
27-Dec-19,68.16,67.91,68.33,67.57,112.22K,0.35%
26-Dec-19,67.92,67.27,67.99,67.22,69.82K,1.07%
24-Dec-19,67.2,66.44,67.26,66.36,104.94K,1.22%
23-Dec-19,66.39,66.15,66.62,65.81,130.19K,0.38%
20-Dec-19,66.14,66.56,66.72,65.7,210.55K,-0.60%
19-Dec-19,66.54,66.19,66.78,66.03,229.21K,0.56%
18-Dec-19,66.17,65.84,66.43,65.56,248.77K,0.11%
17-Dec-19,66.1,65.31,66.24,65.12,239.85K,1.16%
16-Dec-19,65.34,65.05,65.66,64.88,183.35K,0.18%
13-Dec-19,65.22,64.56,65.79,64.5,232.75K,1.59%
12-Dec-19,64.2,63.9,64.85,63.87,238.31K,0.75%
11-Dec-19,63.72,64,64.26,63.01,250.14K,-0.96%
10-Dec-19,64.34,64.03,64.69,63.78,235.19K,0.14%
9-Dec-19,64.25,64.29,64.5,63.61,239.77K,-0.22%
6-Dec-19,64.39,63.41,64.88,62.83,314.60K,1.58%
5-Dec-19,63.39,62.97,63.91,62.75,294.84K,0.62%
4-Dec-19,63,61.08,63.51,61,319.04K,3.58%
3-Dec-19,60.82,61.05,61.58,60.3,248.55K,-0.16%
2-Dec-19,60.92,60.73,62.09,60.72,297.87K,-2.42%
29-Nov-19,62.43,63.77,63.86,62.36,19.65K,-2.25%
28-Nov-19,63.87,63.91,64,63.19,96.08K,-0.30%
27-Nov-19,64.06,64.02,64.6,63.51,125.47K,-0.33%
26-Nov-19,64.27,63.7,64.32,63.44,181.10K,0.97%
25-Nov-19,63.65,63.6,63.8,62.97,212.05K,0.41%
22-Nov-19,63.39,63.62,64.27,62.98,228.74K,-0.91%
21-Nov-19,63.97,62.22,64.03,61.92,318.49K,2.52%
20-Nov-19,62.4,60.94,62.8,60.3,343.31K,2.45%
19-Nov-19,60.91,62.28,62.57,60.7,296.80K,-2.45%
18-Nov-19,62.44,63.36,63.57,61.94,228.25K,-1.36%
15-Nov-19,63.3,62.47,63.65,61.7,255.68K,1.64%
14-Nov-19,62.28,62.61,63.21,62.15,234.78K,-0.14%
13-Nov-19,62.37,61.85,62.74,61.22,273.03K,0.50%
12-Nov-19,62.06,62.11,62.85,61.82,238.17K,-0.19%
11-Nov-19,62.18,62.6,62.76,61.57,213.34K,-0.53%
8-Nov-19,62.51,62.29,62.7,60.66,287.67K,0.35%
7-Nov-19,62.29,61.73,62.89,61.65,261.07K,0.89%
6-Nov-19,61.74,62.78,63.32,61.59,275.94K,-1.94%
5-Nov-19,62.96,62.04,63.19,61.85,231.67K,1.34%
4-Nov-19,62.13,61.8,62.78,61.28,235.38K,0.71%
1-Nov-19,61.69,59.45,61.82,59.4,236.09K,2.42%
31-Oct-19,60.23,60.57,61.13,60.07,13.90K,-0.63%
30-Oct-19,60.61,61.6,61.93,60.45,105.87K,-1.59%
29-Oct-19,61.59,61.61,61.98,60.66,136.93K,0.03%
28-Oct-19,61.57,62.04,62.34,61.19,167.86K,-0.73%
25-Oct-19,62.02,61.5,62.11,60.93,204.45K,0.57%
24-Oct-19,61.67,60.99,61.9,60.64,215.54K,0.82%
23-Oct-19,61.17,59.48,61.3,58.85,313.23K,2.46%
22-Oct-19,59.7,59.05,60.26,58.75,260.60K,1.26%
21-Oct-19,58.96,59.23,59.55,58.26,212.57K,-0.77%
18-Oct-19,59.42,59.78,60.29,59.01,228.14K,-0.82%
17-Oct-19,59.91,58.99,60.04,58.69,269.84K,0.82%
16-Oct-19,59.42,58.9,59.75,58.36,257.88K,1.16%
15-Oct-19,58.74,59.3,59.68,58,305.68K,-1.03%
14-Oct-19,59.35,60.69,60.73,58.5,283.07K,-1.92%
11-Oct-19,60.51,59.53,60.69,59.21,367.63K,2.39%
10-Oct-19,59.1,58.04,59.6,57.8,262.53K,1.34%
9-Oct-19,58.32,58.02,59.35,57.91,266.48K,0.14%
8-Oct-19,58.24,58.47,58.92,57.38,274.74K,-0.19%
7-Oct-19,58.35,58.02,59.68,58.02,228.41K,-0.03%
4-Oct-19,58.37,57.69,58.96,57.67,299.92K,1.14%
3-Oct-19,57.71,57.54,57.99,56.15,336.90K,0.03%
2-Oct-19,57.69,59.25,59.5,57.22,307.91K,-2.04%
1-Oct-19,58.89,59.38,60.1,58.41,291.67K,-3.11%
30-Sep-19,60.78,62.24,62.24,60.73,22.01K,-1.83%
27-Sep-19,61.91,62.48,62.75,60.76,97.33K,-1.32%
26-Sep-19,62.74,62.58,62.92,61.45,115.57K,0.56%
25-Sep-19,62.39,62.44,62.81,61.23,201.47K,-1.13%
24-Sep-19,63.1,64.4,64.6,62.3,216.28K,-2.58%
23-Sep-19,64.77,65.23,65.5,63.53,204.78K,0.76%
20-Sep-19,64.28,65,65.28,64.05,224.88K,-0.19%
19-Sep-19,64.4,63.51,65.57,63.46,258.85K,1.26%
18-Sep-19,63.6,64.23,64.99,63.04,295.05K,-1.47%
17-Sep-19,64.55,68.15,69.26,63.55,620.49K,-6.48%
16-Sep-19,69.02,66.45,71.95,64.75,735.54K,14.61%
13-Sep-19,60.22,60.45,60.81,59.6,195.83K,-0.26%
12-Sep-19,60.38,61.16,61.39,58.92,358.09K,-0.71%
11-Sep-19,60.81,62.88,63.27,60.52,315.12K,-2.52%
10-Sep-19,62.38,62.82,63.78,62.17,267.55K,-0.34%
9-Sep-19,62.59,61.6,63,61.57,249.71K,1.71%
6-Sep-19,61.54,60.81,61.88,59.4,287.36K,0.97%
5-Sep-19,60.95,60.49,62.4,60.25,292.06K,0.41%
4-Sep-19,60.7,58.17,60.96,58.13,283.10K,4.19%
3-Sep-19,58.26,58.54,58.87,57.23,265.12K,-0.68%
2-Sep-19,58.66,58.8,59.26,58.1,121.64K,-2.93%
30-Aug-19,60.43,60.98,61.17,60.25,25.14K,-1.06%
29-Aug-19,61.08,60.48,61.19,59.98,131.09K,0.98%
28-Aug-19,60.49,60.04,61,59.8,134.26K,1.65%
27-Aug-19,59.51,58.8,60.17,58.51,218.37K,1.38%
26-Aug-19,58.7,58.35,60.17,58.24,183.30K,-1.08%
23-Aug-19,59.34,60.11,60.29,58.3,321.24K,-0.97%
22-Aug-19,59.92,60.43,60.89,59.47,276.11K,-0.63%
21-Aug-19,60.3,60.11,61.41,60.07,269.68K,0.45%
20-Aug-19,60.03,59.68,60.32,58.95,245.25K,0.49%
19-Aug-19,59.74,58.72,59.92,58.64,211.45K,1.88%
16-Aug-19,58.64,58.41,59.5,58.28,209.43K,0.70%
15-Aug-19,58.23,59.07,59.42,57.67,298.67K,-2.10%
14-Aug-19,59.48,61.07,61.08,58.21,320.43K,-2.97%
13-Aug-19,61.3,58.47,61.5,58,338.08K,4.66%
12-Aug-19,58.57,58.3,58.88,57.88,221.35K,0.07%
9-Aug-19,58.53,57.74,59.1,57.11,281.80K,2.00%
8-Aug-19,57.38,57.48,58.01,56.77,299.69K,2.05%
7-Aug-19,56.23,58.68,59.23,55.88,485.19K,-4.60%
6-Aug-19,58.94,59.56,60.56,58.55,328.15K,-1.45%
5-Aug-19,59.81,61.46,61.56,59.66,378.86K,-3.36%
2-Aug-19,61.89,61.16,62.95,60.98,364.14K,2.30%
1-Aug-19,60.5,64.09,64.54,60.02,433.72K,-7.17%
31-Jul-19,65.17,64.95,65.42,64.95,18.76K,0.70%
30-Jul-19,64.72,63.91,65.14,63.9,86.10K,1.59%
29-Jul-19,63.71,63.32,63.9,62.92,101.70K,0.39%
26-Jul-19,63.46,63.28,63.96,63.01,159.86K,0.11%
25-Jul-19,63.39,63.21,64.23,63.01,169.84K,0.33%
24-Jul-19,63.18,64.13,64.66,62.59,301.51K,-1.02%
23-Jul-19,63.83,63.26,64.46,62.66,272.73K,0.90%
22-Jul-19,63.26,63.05,64.03,62.77,267.78K,1.26%
19-Jul-19,62.47,62.5,63.37,61.83,298.98K,0.87%
18-Jul-19,61.93,63.52,64.46,61.29,374.89K,-2.72%
17-Jul-19,63.66,64.44,65.28,63.22,274.93K,-1.07%
16-Jul-19,64.35,66.31,67.09,63.82,356.74K,-3.20%
15-Jul-19,66.48,66.87,67.47,66.11,283.09K,-0.36%
12-Jul-19,66.72,66.83,67.29,66.51,244.70K,0.30%
11-Jul-19,66.52,66.81,67.65,66.43,283.02K,-0.73%
10-Jul-19,67.01,64.78,67.12,64.63,349.51K,4.44%
9-Jul-19,64.16,63.81,64.75,63.76,263.89K,0.08%
8-Jul-19,64.11,64.34,65.14,63.79,253.82K,-0.19%
5-Jul-19,64.23,63.27,64.52,62.91,203.54K,1.47%
4-Jul-19,63.3,63.88,64.07,62.95,114.98K,-0.81%
3-Jul-19,63.82,62.9,64.01,62.09,282.11K,2.28%
2-Jul-19,62.4,64.8,65.51,62.22,386.94K,-4.09%
1-Jul-19,65.06,65.05,66.75,64.22,361.41K,-2.24%
28-Jun-19,66.55,66.51,66.84,66.08,34.62K,0.00%
27-Jun-19,66.55,66.05,66.82,65.63,103.16K,0.09%
26-Jun-19,66.49,65.8,66.85,65.6,141.95K,2.21%
25-Jun-19,65.05,64.89,65.98,64.17,205.80K,0.29%
24-Jun-19,64.86,65.5,65.79,64.08,217.44K,-0.52%
21-Jun-19,65.2,64.86,65.76,64,257.92K,1.16%
20-Jun-19,64.45,62.45,64.82,62.4,394.17K,4.25%
19-Jun-19,61.82,62.4,62.55,61.4,320.06K,-0.51%
18-Jun-19,62.14,60.93,62.84,60.25,327.70K,1.97%
17-Jun-19,60.94,62.07,62.37,60.74,236.16K,-1.73%
14-Jun-19,62.01,61.25,62.57,60.74,262.31K,1.14%
13-Jun-19,61.31,59.94,62.64,59.78,435.42K,2.23%
12-Jun-19,59.97,61.79,61.85,59.57,343.21K,-3.72%
11-Jun-19,62.29,62.3,62.87,62.01,302.74K,0.00%
10-Jun-19,62.29,63.58,64.1,62.05,278.49K,-1.58%
7-Jun-19,63.29,62.4,63.59,61.77,307.96K,2.63%
6-Jun-19,61.67,60.4,62.43,60.22,343.64K,1.72%
5-Jun-19,60.63,61.58,62.27,59.45,428.01K,-2.16%
4-Jun-19,61.97,61,62.12,60.21,370.27K,1.13%
3-Jun-19,61.28,61.64,62.84,60.55,386.56K,-4.98%
31-May-19,64.49,66.24,66.28,64.37,21.75K,-3.56%
30-May-19,66.87,69.68,69.96,66.31,105.27K,-3.71%
29-May-19,69.45,70.1,70.1,68.08,148.48K,-0.94%
28-May-19,70.11,69.99,70.59,69.58,238.88K,0.00%
27-May-19,70.11,69.15,70.23,68.53,72.18K,2.07%
24-May-19,68.69,67.99,69.3,67.33,292.09K,1.37%
23-May-19,67.76,70.86,70.97,67.02,434.54K,-4.55%
22-May-19,70.99,71.91,72.04,70.42,371.52K,-1.65%
21-May-19,72.18,72.15,72.52,71.63,303.74K,0.29%
20-May-19,71.97,72.5,73.4,71.6,301.98K,-0.33%
17-May-19,72.21,72.82,73.23,71.79,255.53K,-0.56%
16-May-19,72.62,72.05,73.36,71.82,326.44K,1.18%
15-May-19,71.77,70.9,72.25,70.42,272.44K,0.74%
14-May-19,71.24,70.02,71.65,69.93,299.77K,1.44%
13-May-19,70.23,70.83,72.58,69.72,373.47K,-0.55%
10-May-19,70.62,70.45,71.23,70.18,300.46K,0.33%
9-May-19,70.39,70.23,70.65,69.4,328.74K,0.03%
8-May-19,70.37,69.88,70.7,69.33,295.44K,0.70%
7-May-19,69.88,71.15,71.33,69.38,332.07K,-1.91%
6-May-19,71.24,70.59,71.79,68.79,227.02K,0.55%
3-May-19,70.85,70.48,71.54,69.95,249.81K,0.14%
2-May-19,70.75,72,72.22,69.68,346.63K,-1.98%
1-May-19,72.18,71.73,72.36,71.3,230.80K,-0.85%
30-Apr-19,72.8,71.94,73.27,71.73,25.34K,1.05%
29-Apr-19,72.04,71.56,72.5,71.06,147.41K,-0.15%
26-Apr-19,72.15,74.2,74.42,71.3,222.89K,-2.96%
25-Apr-19,74.35,74.46,75.6,74,309.21K,-0.30%
24-Apr-19,74.57,74.27,74.73,74.02,276.67K,0.08%
23-Apr-19,74.51,74.38,74.73,73.99,308.99K,0.63%
22-Apr-19,74.04,71.93,74.52,71.86,305.17K,2.88%
18-Apr-19,71.97,71.63,72.04,71.2,259.04K,0.49%
17-Apr-19,71.62,71.83,72.27,71.45,276.61K,-0.14%
16-Apr-19,71.72,71.21,71.95,70.74,273.90K,0.76%
15-Apr-19,71.18,71.55,71.6,70.78,219.15K,-0.52%
